Date,Shift,Milk Type,Kgs,Ltrs,Fat,SNF,Center Code
03-05-2021,AM,CM,29.22,,4.1,8.2,719
03-06-2021,AM,CM,25.15,,4.3,8.4,719
03-01-2021,AM,CM,57.48,,4.1,8.2,721
03-02-2021,AM,CM,29.61,,4.1,8.1,721
03-03-2021,AM,CM,41.75,,4.1,8.2,721
03-04-2021,AM,CM,33.5,,4,8.1,721
03-05-2021,AM,CM,34.85,,4.1,8.2,721
03-06-2021,AM,CM,38.25,,4.1,8.2,721
03-01-2021,AM,CM,13.79,,4,8.3,723
03-02-2021,AM,CM,13.59,,4,8.2,723
03-03-2021,AM,CM,12.72,,4.2,8.1,723
03-04-2021,AM,CM,12.62,,4,8.2,723
03-05-2021,AM,CM,12.14,,4.1,8.1,723
03-06-2021,AM,CM,13.59,,3.9,8,723
03-01-2021,AM,CM,11.65,,4.1,8.3,724
03-02-2021,AM,CM,11.65,,3.9,8.2,724
03-03-2021,AM,CM,11.46,,3.9,8.2,724
03-04-2021,AM,CM,11.65,,3.9,8.1,724
03-05-2021,AM,CM,10.78,,4,8.1,724
03-06-2021,AM,CM,12.23,,3.7,8,724
03-01-2021,AM,CM,180.49,,4.2,8.3,801
03-02-2021,AM,CM,198.25,,4.2,8.3,801
03-03-2021,AM,CM,131.26,,4.3,8.3,801
03-04-2021,AM,CM,192.52,,4.2,8.4,801
03-05-2021,AM,CM,230.1,,4.3,8.4,801
03-06-2021,AM,CM,153.69,,4.3,8.4,801
03-01-2021,AM,CM,90.68,,4.2,8.3,802
03-02-2021,AM,CM,68.06,,4.2,8.2,802
03-03-2021,AM,CM,94.17,,4.2,8.3,802
03-04-2021,AM,CM,87.77,,4.3,8.3,802
03-05-2021,AM,CM,98.74,,4.3,8.3,802
03-06-2021,AM,CM,95.34,,4.2,8.3,802
03-01-2021,AM,CM,14.85,,4,8,925
03-01-2021,AM,CM,4.47,,4.1,8.2,928
03-04-2021,AM,CM,5.05,,4.1,8.2,928
03-05-2021,AM,CM,5.15,,4.2,8.3,928
03-01-2021,AM,CM,14.37,,4.1,8.2,931
03-02-2021,AM,CM,27.86,,4,8.1,931
03-03-2021,AM,CM,4.47,,4.2,8.3,931
03-04-2021,AM,CM,18.83,,3.9,8,931
